soc10m,sc2010mg,N,w_human_E1,w_human_E2,emmr_human
"5222  'Tool makers, tool fitters and markers-out'",522,66.15000075101852,1.786887121386826,14.65151330642402,.13775727
5223  'Metal working production and maintenance fitters',522,252.2000017762184,19.06552957370877,50.80025430209935,.17631109
5224  'Precision instrument makers and repairers',522,87.99999994039536,7.544921380467713,18.62800829857588,.1915787
5225  'Air-conditioning and refrigeration engineers',522,30.70000016689301,1.250155596062541,5.174147460609674,.12499119
"5231  'Vehicle technicians, mechanics and electricians'",523,161.750001013279,9.70918245613575,20.9443051526323,.12476869
5232  'Vehicle body builders and repairers  ',523,35.20000034570694,.490494042634964,1.058445654809475,.028969228
5234  'Vehicle paint technicians',523,38.40000003576279,.9150051595643163,1.217876333743334,.039686024
5235  'Aircraft maintenance and related trades',523,43.20000046491623,1.335356932133436,8.954313471913338,.13454893
5236  'Boat and ship builders and repairers',523,28.70000016689301,.1401214394718409,5.124474544078112,.094158843
5237  'Rail and rolling stock builders and repairers',523,27.55000030994415,1.579937040805817,1.928088463842869,.092340514
5241  'Electricians and electrical fitters',524,124.5011698454618,9.236755440942943,31.77197999693453,.20178722
5242  'Telecommunications engineers',524,23.25000011920929,2.150720454752445,4.053645126521587,.17967927
"5244  'TV, video and audio engineers'",524,22.50000011920929,1.252446599304676,6.297254826873541,.19560328
5245  'IT engineers',524,31.75000005960464,8.104270685464144,14.6204651594162,.48549616
5249  'Electrical and electronic trades n.e.c.',524,100.2918137907982,6.396720692515373,20.90103510394692,.16798219
"5250  'Sklld metal, electrical and electrnc trades sprvsrs'",525,21.95000010728836,1.437959277071059,7.370489989407361,.23340338
5311  'Steel erectors',531,22.55000019073486,.1667323857545853,.9797935597598553,.02911881
5312  'Bricklayers and masons',531,82.80000019073486,1.037090122699738,5.171926252543926,.043756682
"5313  'Roofers, roof tilers and slaters'",531,70.83992210030556,2.10350875556469,1.876632265746593,.042939417
5314  'Plumbers and heating and ventilating engineers',531,32.35000020265579,1.889477901160717,3.126338889822364,.10672789
5315  'Carpenters and joiners',531,78.15000051259995,2.587677262723446,7.163513474166393,.078943491
"5316  'Glaziers, window fabricators and fitters'",531,85.80000048875809,1.708741776645184,5.149650797247887,.049925026
5319  'Construction and building trades n.e.c.',531,133.0500006079674,9.968021526932716,24.90716924518347,.16852015
5321  'Plasterers',532,52.15000009536743,.6012071222066879,2.401644710451365,.034554735
5322  'Floorers and wall tilers',532,48.65164220333099,1.056741558015347,2.435948211699724,.046755169
